CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Cote d'Ivoire,CIV,,,2020-06-01,0.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1531025.0,0.0,3.0
Cameroon,CMR,,,2020-06-01,2.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Democratic Republic of Congo,COD,,,2020-06-01,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
Congo,COG,,,2020-06-01,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Colombia,COL,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0
Comoros,COM,,,2020-06-01,,,,,,,,,,,,,,,,,,2.0
Cape Verde,CPV,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Costa Rica,CRI,,,2020-06-01,3.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Cuba,CUB,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Cayman Islands,CYM,,,2020-06-01,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,,,,1.0,3.0,2.0,,,
Cyprus,CYP,,,2020-06-01,2.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Czech Republic,CZE,,,2020-06-01,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Germany,DEU,,,2020-06-01,2.0,2.0,2.0,4.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0
Djibouti,DJI,,,2020-06-01,2.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Dominica,DMA,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Denmark,DNK,,,2020-06-01,2.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Dominican Republic,DOM,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Algeria,DZA,,,2020-06-01,3.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Ecuador,ECU,,,2020-06-01,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Egypt,EGY,,,2020-06-01,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Eritrea,ERI,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Spain,ESP,,,2020-06-01,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Estonia,EST,,,2020-06-01,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
Ethiopia,ETH,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Finland,FIN,,,2020-06-01,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Fiji,FJI,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Falkland Islands,FLK,,,2020-06-01,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,,,
France,FRA,,,2020-06-01,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Gabon,GAB,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
United Kingdom,GBR,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0
United Kingdom,GBR,England,UK_ENG,2020-06-01,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,
United Kingdom,GBR,Northern Ireland,UK_NIR,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,
United Kingdom,GBR,Scotland,UK_SCO,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0
