CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Aruba,ABW,,,2020-11-09,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Angola,AGO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Anguilla,AIA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Albania,ALB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Andorra,AND,,,2020-11-09,1.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
United Arab Emirates,ARE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Australia,AUS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Austria,AUT,,,2020-11-09,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Burundi,BDI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Belgium,BEL,,,2020-11-09,2.0,3.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Benin,BEN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,,,2020-11-09,3.0,3.0,2.0,4.0,1.0,,,,,,,,,,,,,
Bulgaria,BGR,,,2020-11-09,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,,,49238847.0,0.0,3.0
Bahrain,BHR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,2020-11-09,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Belize,BLZ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Bermuda,BMU,,,2020-11-09,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Brazil,BRA,,,2020-11-09,,,2.0,3.0,,,,,,,,,,,,,,
Barbados,BRB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Brunei,BRN,,,2020-11-09,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Bhutan,BTN,,,2020-11-09,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0
Botswana,BWA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,,,2020-11-09,,,,,,,,,,,,,,,,,,
Canada,CAN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Switzerland,CHE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Chile,CHL,,,2020-11-09,,,,,,,,,,,,,,,,,,
China,CHN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cameroon,CMR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,COD,,,2020-11-09,,,,,,,,,,,,,,,,,,
Congo,COG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Colombia,COL,,,2020-11-09,,,,,,,,,,,,,,,2.0,,,
Comoros,COM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,,,2020-11-09,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cuba,CUB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,2020-11-09,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Germany,DEU,,,2020-11-09,1.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
Djibouti,DJI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,2020-11-09,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,
Denmark,DNK,,,2020-11-09,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,,,2020-11-09,3.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,,,3.0
Algeria,DZA,,,2020-11-09,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Ecuador,ECU,,,2020-11-09,,,,,,,,,,,,,,,,,,
